R[MAGRATHEA-iron-1000k],M[MAGRATHEA-iron-1000k],R[Reinhardt2022],M[Reinhardt2022],R[b0d0_80kms],M[b0d0_80kms],R[b0d3_80kms],M[b0d3_80kms],R[b0d5_80kms],M[b0d5_80kms],R[b0d7_80kms],M[b0d7_80kms],R[b0d3_160kms],M[b0d3_160kms],R[b0d5_160kms],M[b0d5_160kms],R[b0d7_160kms],M[b0d7_160kms]
0.01,0.186964,0.01,0.193419,0.01,0.193192,0.9493169730583911,0.767019,0.16727891003874681,0.459236,0.02393963095526741,0.248838,7.594535784467129,1.31293,1.3382312803099745,0.840756,0.19151704764213928,0.478635
0.0400401,0.292861,0.04756892230576441,0.321963,0.04756892230576441,0.320361,1.019923420429957,0.789488,0.2418151969229742,0.523536,0.09919621572433641,0.421609,7.6317491724848825,1.31572,1.4068833844290198,0.854951,0.2659315348399175,0.538205
0.0700802,0.349743,0.08513784461152882,0.388899,0.08513784461152882,0.385567,1.090529867801523,0.810953,0.3163514838072016,0.576415,0.17445280049340542,0.517935,7.668962560502635,1.31841,1.4755354885480652,0.868782,0.34034602203769565,0.588091
0.10012,0.391064,0.12270676691729322,0.437822,0.12270676691729322,0.432621,1.1611363151730887,0.831486,0.390887770691429,0.621876,0.24970938526247444,0.588759,7.7061759485203885,1.3211,1.5441875926671105,0.882228,0.4147605092354738,0.631474
0.13016,0.424191,0.16027568922305765,0.477454,0.16027568922305765,0.470289,1.2317427625446546,0.851137,0.4654240575756564,0.66206,0.3249659700315434,0.645872,7.743389336538142,1.32378,1.612839696786156,0.895308,0.489174996433252,0.670125
0.1602,0.452141,0.19784461152882207,0.511263,0.19784461152882207,0.502096,1.3023492099162204,0.869998,0.5399603444598838,0.698237,0.4002225548006124,0.694238,7.780602724555894,1.32645,1.6814918009052011,0.908037,0.5635894836310302,0.705091
0.19024,0.476477,0.23541353383458646,0.541024,0.23541353383458646,0.529843,1.3729556572877863,0.888167,0.6144966313441113,0.731235,0.47547913956968146,0.736417,7.817816112573648,1.32912,1.7501439050242467,0.920476,0.6380039708288083,0.737114
0.220281,0.498126,0.2729824561403509,0.567762,0.2729824561403509,0.554585,1.4435621046593523,0.905624,0.6890329182283387,0.76164,0.5507357243387504,0.773979,7.855029500591401,1.33169,1.818796009143292,0.932638,0.7124184580265865,0.766706
0.250321,0.517686,0.3105513784461153,0.592154,0.3105513784461153,0.576982,1.514168552030918,0.922427,0.7635692051125661,0.78987,0.6259923091078194,0.807933,7.892242888609154,1.33435,1.8874481132623373,0.944491,0.7868329452243648,0.794251
0.280361,0.535569,0.3481203007518797,0.614644,0.3481203007518797,0.59754,1.584774999402484,0.938711,0.8381054919967935,0.816242,0.7012488938768885,0.839005,7.929456276626907,1.337,1.9561002173813826,0.95609,0.861247432422143,0.820043
0.310401,0.552074,0.38568922305764414,0.635595,0.38568922305764414,0.616574,1.65538144677405,0.954415,0.9126417788810209,0.841048,0.7765054786459574,0.867673,7.966669664644661,1.33955,2.024752321500428,0.9674,0.9356619196199212,0.844332
0.340441,0.56742,0.42325814536340856,0.6552,0.42325814536340856,0.634309,1.7259878941456157,0.969634,0.9871780657652484,0.864432,0.8517620634150265,0.894323,8.003883052662413,1.34219,2.0934044256194735,0.978476,1.0100764068176993,0.867309
0.370481,0.581778,0.4608270676691729,0.673705,0.4608270676691729,0.650981,1.7965943415171817,0.984342,1.0617143526494757,0.886597,0.9270186481840955,0.91925,8.041096440680166,1.34473,2.1620565297385186,0.989327,1.0844908940154774,0.889079
0.400521,0.595282,0.49839598997493734,0.691207,0.49839598997493734,0.666691,1.8672007888887476,0.998673,1.136250639533703,0.907701,1.0022752329531643,0.942624,8.07830982869792,1.34735,2.230708633857564,0.999961,1.1589053812132557,0.909822
0.430561,0.608039,0.5359649122807018,0.707841,0.5359649122807018,0.681609,1.9378072362603134,1.01256,1.2107869264179305,0.927791,1.0775318177222335,0.964676,8.115523216715673,1.34988,2.2993607379766097,1.01039,1.2333198684110338,0.929612
0.460601,0.620137,0.5735338345864662,0.723722,0.5735338345864662,0.695781,2.008413683631879,1.02605,1.285323213302158,0.946996,1.1527884024913027,0.98558,8.152736604733425,1.3524,2.3680128420956548,1.02061,1.3077343556088121,0.948543
0.490641,0.631648,0.6111027568922306,0.738902,0.6111027568922306,0.70934,2.0790201310034453,1.03916,1.3598595001863854,0.965405,1.2280449872603714,1.00546,8.18994999275118,1.35492,2.4366649462147,1.03064,1.3821488428065902,0.9667
0.520681,0.642632,0.648671679197995,0.753494,0.648671679197995,0.722299,2.149626578375011,1.05196,1.4343957870706128,0.98306,1.3033015720294405,1.02441,8.227163380768932,1.35743,2.5053170503337454,1.04047,1.4565633300043683,0.984098
0.550721,0.653142,0.6862406015037594,0.767501,0.6862406015037594,0.734742,2.2202330257465768,1.06436,1.5089320739548402,1.00002,1.3785581567985097,1.04253,8.264376768786684,1.35993,2.573969154452791,1.05012,1.5309778172021467,1.00084
0.580762,0.66322,0.7238095238095238,0.780992,0.7238095238095238,0.746717,2.290839473118143,1.07645,1.5834683608390676,1.01635,1.4538147415675784,1.05987,8.301590156804439,1.36243,2.642621258571836,1.0596,1.6053923043999248,1.01697
0.610802,0.672906,0.7613784461152883,0.794008,0.7613784461152883,0.758266,2.3614459204897087,1.08824,1.658004647723295,1.0321,1.5290713263366476,1.07652,8.338803544822191,1.36492,2.711273362690881,1.06894,1.679806791597703,1.03254
0.640842,0.68223,0.7989473684210526,0.806608,0.7989473684210526,0.769426,2.4320523678612744,1.09976,1.7325409346075225,1.04732,1.6043279111057167,1.09256,8.376016932839944,1.3674,2.779925466809927,1.07807,1.7542212787954812,1.04761
0.670882,0.691223,0.8365162907268171,0.818796,0.8365162907268171,0.780227,2.5026588152328406,1.11103,1.8070772214917499,1.06206,1.6795844958747854,1.10799,8.413230320857698,1.36988,2.8485775709289722,1.08708,1.8286357659932593,1.06218
0.700922,0.69991,0.8740852130325815,0.830597,0.8740852130325815,0.790697,2.5732652626044064,1.12202,1.8816135083759773,1.0763,1.7548410806438546,1.12289,8.45044370887545,1.37235,2.9172296750480173,1.09593,1.9030502531910376,1.07631
0.730962,0.708313,0.9116541353383458,0.842091,0.9116541353383458,0.80083,2.643871709975972,1.13281,1.9561497952602045,1.09015,1.8300976654129237,1.13729,8.487657096893203,1.37473,2.985881779167063,1.10463,1.9774647403888157,1.09001
0.761002,0.716451,0.9492230576441103,0.853241,0.9492230576441103,0.81071,2.7144781573475383,1.14332,2.030686082144432,1.10358,1.9053542501819924,1.15125,8.524870484910958,1.37719,3.0545338832861084,1.11316,2.0518792275865936,1.1033
0.791042,0.724343,0.9867919799498747,0.864065,0.9867919799498747,0.820326,2.785084604719104,1.15361,2.105222369028659,1.11665,1.9806108349510616,1.16476,8.56208387292871,1.37965,3.1231859874051535,1.1216,2.126293714784372,1.11623
